File Name,PyPDF2,PyMuPDF,pdfplumber,PDFMiner,PyPDF4
API_RP_571_2003_.pdf,"(270, '0.43')","(270, '0.05')","(270, '1.02')","(None, '0.00')","(270, '0.98')"
ASME Sec II-D-Metric.pdf,"(None, '5.24')","(1496, '0.33')","(0, '3.85')","(None, '0.00')","(None, '0.01')"
Rienstra_look_page_37.pdf,"(298, '0.12')","(298, '0.02')","(298, '0.46')","(None, '0.00')","(298, '0.13')"
Гайд по коррозии в воде.pdf,"(319, '0.24')","(319, '0.01')","(319, '0.74')","(None, '0.00')","(319, '0.36')"
Крайко А.Н. Краткий курс теоретической газовой динамики. 2007.pdf,"(302, '0.50')","(302, '0.01')","(302, '0.65')","(None, '0.00')","(302, '0.21')"
